test_type	geneA	geneB	beta	se	p	q	sig	delta_ci_low	delta_ci_high	phenotype_score
pair_vs_single	RASA2	MED12	0.0011637313196253	NA	0.0855701148074018	0.102684137768882	FALSE	-0.000186122020310004	0.00243440593712932	IFN
pair_vs_single	RASA2	TRAF6	0.000668897436744303	NA	0.215580490524651	0.242528051840232	FALSE	-0.000386845978343556	0.0018026993095416	IFN
pair_vs_single	RASA2	ZC3H12A	0.000810245186860854	NA	0.0691878313720766	0.0858883423929227	FALSE	-9.93039317900002e-05	0.00169510348744396	IFN
pair_vs_single	RASA2	SOCS3	0.001686057510141	NA	0.000260292587766027	0.000425933325435318	TRUE	0.000748738432074402	0.00254563009166574	IFN
pair_vs_single	RASA2	NR4A1	0.00143954992474045	NA	0.00221869554545749	0.00332804331818624	TRUE	0.000536682206288287	0.00236549014984492	IFN
pair_vs_single	MED12	TRAF6	0.000215947430273589	NA	0.74629037601513	0.74629037601513	FALSE	-0.00108221577307625	0.00151051762543031	IFN
pair_vs_single	MED12	ZC3H12A	0.000370002614773075	NA	0.555326718791338	0.587992996367299	FALSE	-0.000895038419066064	0.00167896822565424	IFN
pair_vs_single	MED12	SOCS3	0.000720755612327432	NA	0.262536227791531	0.286403157590761	FALSE	-0.00052967519732118	0.00200173466871791	IFN
pair_vs_single	MED12	NR4A1	0.00154339651321576	NA	0.0296102347716157	0.0409987866068525	TRUE	0.000182943106078986	0.00284328695093193	IFN
pair_vs_single	TRAF6	ZC3H12A	-0.000248260209474319	NA	0.651935090251235	0.670561807115556	FALSE	-0.001435346924431	0.000830337346637886	IFN
pair_vs_single	TRAF6	SOCS3	0.00118818797657563	NA	0.0360993203988082	0.048132427198411	TRUE	8.0093522300685e-05	0.00229684332515275	IFN
pair_vs_single	TRAF6	NR4A1	0.000920890219589295	NA	0.129713886083482	0.150635480613075	FALSE	-0.000304660780425322	0.00207171080727114	IFN
pair_vs_single	ZC3H12A	SOCS3	0.000939717782818911	NA	0.0412727965849191	0.0530650241806102	FALSE	1.42614602446123e-05	0.00181658761026473	IFN
pair_vs_single	ZC3H12A	NR4A1	0.00112492686667572	NA	0.0149890983421202	0.0215843016126531	TRUE	0.000223685558654897	0.0020508619065344	IFN
pair_vs_single	SOCS3	NR4A1	0.00162158470052112	NA	0.00131606017313765	0.00205992027099806	TRUE	0.000610628248417336	0.00261906326176482	IFN
single	RASA2	NA	0.000681228463072119	0.000198614055992312	0.000603780066669386	0.0014861133512834	TRUE	NA	NA	Proliferation
single	MED12	NA	0.00106546161085184	0.000219688796064848	1.23543807132594e-06	7.41262842795561e-06	TRUE	NA	NA	Proliferation
single	TRAF6	NA	0.000721210734180314	0.000213807439175261	0.000743056675641701	0.0014861133512834	TRUE	NA	NA	Proliferation
single	ZC3H12A	NA	0.000500344184442226	0.000190750225261131	0.00871507653056081	0.0130726147958412	TRUE	NA	NA	Proliferation
single	SOCS3	NA	0.000295875308220959	0.000201888201847008	0.142773549028478	0.142773549028478	FALSE	NA	NA	Proliferation
single	NR4A1	NA	-0.000400404375001895	0.000202108900872829	0.0475764924906159	0.0570917909887391	FALSE	NA	NA	Proliferation
pair	RASA2	MED12	-0.000605949157105492	0.000775396841468462	0.434526275756342	0.525802125305279	FALSE	NA	NA	Proliferation
pair	RASA2	TRAF6	0.00177579840685969	0.000657376926384612	0.0069060756393413	0.0147987335128742	TRUE	NA	NA	Proliferation
pair	RASA2	ZC3H12A	0.000895030662098336	0.00050255380826535	0.0749181950172084	0.112377292525813	FALSE	NA	NA	Proliferation
pair	RASA2	SOCS3	0.00156937749021259	0.000520730527067709	0.00257998104450888	0.00644995261127219	TRUE	NA	NA	Proliferation
pair	RASA2	NR4A1	0.00242248969457915	0.000537195164109679	6.49759754412587e-06	4.87319815809441e-05	TRUE	NA	NA	Proliferation
