Gene	score_fdr_pos	score_tophalf_pos	score_pos	n_fdr_guides_pos	pval_pos	qval_pos	score_fdr_neg	score_tophalf_neg	score_neg	n_fdr_guides_neg	pval_neg	qval_neg	z_pos
CBLB_TBX21	-0.86138612104931	-0.627427279938743	-1.0581203404634	10	7.80163550885666e-05	0.0181352563601332	1.86754158524239	2.37382802026032	3.30759881288152	16	6.72036639257271e-56	6.72299564390001e-56	3.12344265670674
TIGIT_TOX2	1.18801348680296	-1.31093887797145	-1.07333618061086	2	9.21200896387677e-05	0.0196292557671941	4.83088936050211	5.05925880272975	7.47470348298081	13	6.26274196228841e-162	5.54111806144341e-161	3.09090212522867
DTX1_ITCH	0.340690979709548	-1.18698107719871	-1.08477378328585	3	0.000104263992775439	0.0205079253482151	3.74229849271512	4.14943247225414	6.0205817186117	15	1.49877310954155e-118	2.54811359115541e-118	3.06644171645253
DLG1_DUSP6	2.6998392288748	-1.64316593334972	-1.10319808757477	2	0.000127034373129677	0.0232019208637561	5.04731589590712	4.69001715391977	7.21367510187333	12	1.22347968494033e-153	7.22502899397786e-153	3.02703957711188
CBLB	-0.568536789697718	-0.83800979286362	-1.12227818771248	19	0.000155476214082894	0.026503511960664	2.37500251913233	3.18545780758462	4.37295906715078	95	1.15196727607552e-77	1.16472136216888e-77	2.98623495553864
DGKZ_TRAF6	-0.271230702056435	-1.04449742806178	-1.15298970888436	4	0.000214068694730712	0.0342108532766518	3.30744233132532	3.62066350641594	5.2743846720786	15	6.027516086632e-99	6.99290319125137e-99	2.92055542606487
DNMT3A_TIGIT	0.093110011850655	-1.20603198201606	-1.18740997964592	2	0.000303939469393049	0.045716071955178	3.11071931684321	3.21773126765495	4.77309092607655	15	8.69273332411707e-87	9.07978721804222e-87	2.84694438038183
DNMT3A_NR4A1	-0.077336735096171	-1.17807340297915	-1.20900809701761	4	0.000377107412834492	0.0535702030343219	3.09751765408837	4.0016993330434	5.55045816008759	16	5.45647902655905e-106	7.10398007683885e-106	2.80075473778638
INPP5D_STAT5A	0.489178753205194	-1.3237570316329	-1.22592128099186	2	0.000445482680305138	0.0599525901863283	2.94566514962732	3.44531579919607	4.91814837400973	16	3.19364240691269e-90	3.41251301064595e-90	2.76458427396874
FGL2_SOCS1	-0.598638153415747	-0.940995043572415	-1.24031412028029	5	0.000512539618597788	0.0655281902377273	3.03110463600948	3.51932209142901	5.03487440943375	15	4.90783560059405e-93	5.37444780758843e-93	2.73380380865199
NR4A3_PTPN11	-0.0414888415042296	-1.2458949672298	-1.25834161968107	3	0.000609697564257214	0.0742379367526522	4.25446783567072	4.64272640845626	6.76996032629162	15	4.73088806688051e-140	1.5669534698204e-139	2.69525027456929
DGKA_NCKAP1L	0.63598013086816	-1.40178261824405	-1.27458659207042	2	0.000711545272779214	0.0827009664771114	3.74933085463837	3.80744170433355	5.68210713165273	15	1.95643546941114e-109	2.74416099576757e-109	2.66050884522505
HFE_ZC3H12A	-0.731529150394698	-0.918519389618388	-1.28428396481574	6	0.000779595322455854	0.0866706625878096	2.52856926843765	3.1218019719968	4.38608660621563	16	5.89340510151514e-78	5.96573113403571e-78	2.63977008482697
CBLB_PDCD1	-0.696236138001411	-0.944262491211753	-1.29238056021246	5	0.000840949379314812	0.0895961484544989	2.51146557379868	3.11871395542367	4.37444674232301	16	1.06778115261584e-77	1.08045762059308e-77	2.62245474010601
CBLB_PIK3IP1	-0.16261869622599	-1.26829467088846	-1.33334214937885	4	0.00122512445590211	0.119936583017629	3.17141884295024	3.82614797240954	5.41185739388466	16	2.01245091949869e-102	2.45039857198007e-102	2.53485445850845
ITCH_RIPOR2	2.17794175907126	-1.55117751363628	-1.33338333772915	1	0.00122558087444764	0.119936583017629	4.512542083565	4.82425894993065	7.08052999171315	15	1.70470579737332e-149	8.27121958991194e-149	2.53476637327645
DGKZ_TBX21	0.283562414742719	-1.39372738620109	-1.33701490325254	2	0.00126644025869221	0.119936583017629	2.67116103780197	2.91116753572093	4.24674805462191	16	6.78376678974804e-75	6.84263971652297e-75	2.52699992258537
CTLA4_PPP2R1A	-0.798325457812187	-0.94808072756302	-1.34724345646911	5	0.00138831085214972	0.12678253031953	2.87666043782754	3.51747688168442	4.95580710059818	16	3.99418444392845e-91	4.30207650510744e-91	2.50512518187481
DUSP4_ZBTB7B	-0.494680760180645	-1.22553980205621	-1.37394403011041	3	0.00175858292125625	0.151256677376557	2.64195478153148	2.96726512848987	4.28824251925561	16	8.44201943945763e-76	8.52874109312254e-76	2.44802344785045
GTC	0.178315567478861	-1.46413821419479	-1.37498043045536	73	0.00177461881943555	0.151256677376557	3.91710840482025	5.58894733369329	7.54750153610341	483	2.78748071650795e-164	2.8284080127424e-163	2.44580700644978
DNMT3A_INPP5D	-0.757819429351206	-1.09420075729498	-1.39732852903547	4	0.00215440781912099	0.17770389656427	2.98981613931029	3.56114608309425	5.05605415274939	16	1.49858744059057e-93	1.64529329565912e-93	2.39801345720941
INPPL1_MDM2	2.29263196083221	-1.63125984942987	-1.40199665334665	1	0.00224249508615116	0.179189372977766	4.2053666465847	4.33759301531737	6.44027633860972	14	2.27988132884078e-130	5.47385592285997e-130	2.38803022627248
HFE_TNFRSF14	0.395110185144409	-1.49432146556777	-1.41529942853889	2	0.00251170502735144	0.194619083482959	2.80968304153661	3.14601993103607	4.55086145180438	16	1.17349587542221e-81	1.19690026065201e-81	2.35958096742816
PTPN3_TNFRSF14	-0.65908566019266	-1.17347078433148	-1.43710504840854	4	0.00301670210893446	0.226873743898394	2.99924433227006	3.6409978889876	5.14062005512263	16	1.2709151364779e-95	1.42657155573924e-95	2.31294756086692
NR4A3_TBX21	-1.12082566995366	-0.89108880214104	-1.45150163711787	5	0.00339847781647592	0.242567603729004	2.63830093705832	3.14322423326923	4.46237470179839	16	1.16902903552561e-79	1.18619335072976e-79	2.28215907705447
PIK3IP1_PTPRF	-0.814210744703593	-1.04498974041358	-1.45209511276538	5	0.00341510900830823	0.242567603729004	3.2536612437705	3.98107280076071	5.60790342264596	16	1.73931848654058e-107	2.32972099009128e-107	2.28088987254114
DNMT3A_LAG3	-0.0868832335696437	-1.43398004551407	-1.46004501558497	3	0.00364505124642939	0.251902595597836	3.53529503858222	4.22109199774981	5.98873951704092	16	1.11968488880918e-117	1.86274187422581e-117	2.2638882439461
CBL_VSIR	-0.506108316298674	-1.3388957731157	-1.4907282680053	3	0.00466834893423135	0.307703442759145	2.8783836565383	3.33730258097358	4.77649440924274	16	7.233413771188e-87	7.55857744704851e-87	2.19826916990501
CBLB_ZC3H12A	-0.68459648332282	-1.2193440555999	-1.49318264892902	4	0.00476034417730053	0.307703442759145	2.41567471615182	2.93446959623484	4.14230695431074	16	1.21557451859181e-72	1.22226663155299e-72	2.19302024122717
ARG2_FOXP3	-0.130222813693273	-1.45551494202543	-1.49458178613341	3	0.00481350712176997	0.307703442759145	3.68053769547423	4.48836436662241	6.32863321435953	16	3.60753279675497e-127	7.74513968203397e-127	2.19002805231086
CBLB_PELI1	0.158561680191009	-1.53743874009849	-1.50572640406029	2	0.00525621926128317	0.320315137912263	3.07969260073988	3.55384998755822	5.09369628792816	16	1.80483933188079e-94	2.00651050939965e-94	2.16619421947966
